# y+ ()         
# Time          	patch           	min             	max             	average         
0.785           	airfoil	1.76937058e-05	1.80916614e-02	3.46721425e-03
0.79            	airfoil	2.19979912e-05	1.81113103e-02	3.49279167e-03
0.795           	airfoil	9.56541891e-05	1.81296781e-02	3.51840444e-03
0.8             	airfoil	5.40579098e-05	1.81478606e-02	3.54383145e-03
0.805           	airfoil	8.27706196e-05	1.81668930e-02	3.56943935e-03
0.81            	airfoil	5.64264267e-05	1.81847141e-02	3.59482049e-03
0.815           	airfoil	8.99368660e-06	1.82023747e-02	3.62005577e-03
0.82            	airfoil	2.93588126e-05	1.82208794e-02	3.64545008e-03
0.825           	airfoil	2.11697048e-05	1.82382245e-02	3.67077220e-03
0.83            	airfoil	6.16012293e-05	1.82563985e-02	3.69617918e-03
0.835           	airfoil	7.02251470e-05	1.82734549e-02	3.72134621e-03
0.84            	airfoil	7.24373935e-05	1.82913330e-02	3.74665955e-03
0.845           	airfoil	5.57899105e-05	1.83081216e-02	3.77171080e-03
0.85            	airfoil	3.21333698e-05	1.83257261e-02	3.79679221e-03
0.855           	airfoil	2.83663649e-05	1.83422648e-02	3.82177536e-03
0.86            	airfoil	1.19520593e-04	1.83596139e-02	3.84693534e-03
0.865           	airfoil	1.23779688e-04	1.83759184e-02	3.87181002e-03
0.87            	airfoil	6.01204260e-05	1.83930277e-02	3.89669850e-03
0.875           	airfoil	1.04406095e-04	1.84091118e-02	3.92140794e-03
0.88            	airfoil	6.14637748e-05	1.84259947e-02	3.94612148e-03
0.885           	airfoil	9.83740179e-05	1.84418701e-02	3.97062999e-03
0.89            	airfoil	8.29218488e-05	1.84585380e-02	3.99513597e-03
0.895           	airfoil	5.15233375e-05	1.84742144e-02	4.01962849e-03
0.9             	airfoil	1.88467520e-05	1.84906766e-02	4.04442249e-03
0.905           	airfoil	6.77435733e-05	1.85061618e-02	4.06894394e-03
0.91            	airfoil	1.00362776e-04	1.85224255e-02	4.09353857e-03
0.915           	airfoil	6.13243951e-05	1.85385604e-02	4.11791446e-03
0.92            	airfoil	5.32284417e-05	1.85537665e-02	4.14207353e-03
0.925           	airfoil	8.65393182e-05	1.85697351e-02	4.16625198e-03
0.93            	airfoil	1.08157305e-04	1.85855813e-02	4.19029289e-03
0.935           	airfoil	2.77982237e-05	1.86005177e-02	4.21400179e-03
0.94            	airfoil	6.25543350e-05	1.86162035e-02	4.23838648e-03
0.945           	airfoil	6.56303009e-05	1.86317698e-02	4.26274649e-03
0.95            	airfoil	6.44833622e-05	1.86472338e-02	4.28685790e-03
0.955           	airfoil	8.95620641e-05	1.86618194e-02	4.31089071e-03
0.96            	airfoil	2.71834155e-05	1.86771356e-02	4.33493057e-03
0.965           	airfoil	7.58504169e-05	1.86923375e-02	4.35882660e-03
0.97            	airfoil	3.95875520e-05	1.87074411e-02	4.38249568e-03
0.975           	airfoil	1.24774216e-04	1.87224524e-02	4.40605793e-03
0.98            	airfoil	8.92879364e-05	1.87373739e-02	4.42935171e-03
0.985           	airfoil	1.33610317e-04	1.87522067e-02	4.45282406e-03
0.99            	airfoil	3.89627059e-05	1.87669517e-02	4.47594378e-03
0.995           	airfoil	1.11304799e-04	1.87816091e-02	4.49932954e-03
1               	airfoil	7.34595097e-05	1.87961796e-02	4.52239410e-03
1.005           	airfoil	1.22248836e-04	1.88106638e-02	4.54558483e-03
1.01            	airfoil	5.83787415e-05	1.88250624e-02	4.56854949e-03
1.015           	airfoil	1.50389677e-04	1.88393762e-02	4.59142568e-03
1.02            	airfoil	1.53985121e-04	1.88536063e-02	4.61408635e-03
1.025           	airfoil	6.17335593e-05	1.88677538e-02	4.63653337e-03
1.03            	airfoil	1.30153443e-04	1.88818199e-02	4.65890776e-03
1.035           	airfoil	1.35457956e-04	1.88958056e-02	4.68117386e-03
1.04            	airfoil	7.14915388e-05	1.89097121e-02	4.70343669e-03
1.045           	airfoil	6.78282591e-05	1.89235405e-02	4.72576326e-03
1.05            	airfoil	6.34650123e-05	1.89372919e-02	4.74799787e-03
1.055           	airfoil	8.02869728e-05	1.89509675e-02	4.77007543e-03
1.06            	airfoil	1.31121778e-04	1.89645682e-02	4.79207394e-03
1.065           	airfoil	1.71637329e-04	1.89780952e-02	4.81390985e-03
1.07            	airfoil	7.48995727e-05	1.89915494e-02	4.83553312e-03
1.075           	airfoil	1.04647177e-04	1.90049318e-02	4.85707482e-03
1.08            	airfoil	1.44325892e-04	1.90182434e-02	4.87854766e-03
1.085           	airfoil	4.31519347e-05	1.90314850e-02	4.89982281e-03
1.09            	airfoil	1.11716635e-04	1.90446576e-02	4.92116041e-03
1.095           	airfoil	1.49438538e-04	1.90577620e-02	4.94231100e-03
1.1             	airfoil	5.73530760e-05	1.90707993e-02	4.96325299e-03
1.105           	airfoil	1.60548868e-04	1.90837701e-02	4.98414809e-03
1.11            	airfoil	1.08074038e-04	1.90966754e-02	5.00484270e-03
1.115           	airfoil	8.62214372e-05	1.91095159e-02	5.02553169e-03
1.12            	airfoil	1.84098404e-04	1.91222927e-02	5.04619629e-03
1.125           	airfoil	1.05148859e-04	1.91350063e-02	5.06661962e-03
1.13            	airfoil	1.25991095e-04	1.91476578e-02	5.08719961e-03
1.135           	airfoil	7.14494665e-05	1.91602480e-02	5.10753934e-03
1.14            	airfoil	7.09520159e-05	1.91727776e-02	5.12788002e-03
1.145           	airfoil	1.50037686e-04	1.91852475e-02	5.14826169e-03
1.15            	airfoil	1.62549511e-04	1.91976579e-02	5.16842398e-03
1.155           	airfoil	1.00290647e-05	1.92100089e-02	5.18828209e-03
1.16            	airfoil	1.70954721e-04	1.92223003e-02	5.20841595e-03
1.165           	airfoil	6.40854262e-05	1.92345322e-02	5.22819846e-03
1.17            	airfoil	8.56788284e-05	1.92467045e-02	5.24801516e-03
1.175           	airfoil	1.34838489e-04	1.92588174e-02	5.26778696e-03
1.18            	airfoil	1.22076329e-04	1.92708715e-02	5.28742733e-03
1.185           	airfoil	1.18915364e-04	1.92828673e-02	5.30686682e-03
1.19            	airfoil	3.02281419e-05	1.92948057e-02	5.32608105e-03
1.195           	airfoil	8.99351715e-05	1.93066878e-02	5.34597431e-03
1.2             	airfoil	1.48286324e-04	1.93185144e-02	5.36570209e-03
1.205           	airfoil	8.17618310e-05	1.93302866e-02	5.38515185e-03
1.21            	airfoil	1.21908318e-05	1.93420057e-02	5.40455518e-03
1.215           	airfoil	1.77522582e-04	1.93536727e-02	5.42395136e-03
1.22            	airfoil	8.78549498e-05	1.93652887e-02	5.44301412e-03
1.225           	airfoil	1.02093537e-04	1.93768548e-02	5.46229932e-03
1.23            	airfoil	2.06862911e-04	1.93883720e-02	5.48142454e-03
1.235           	airfoil	1.01116338e-04	1.93998415e-02	5.50045925e-03
1.24            	airfoil	1.53421825e-04	1.94112642e-02	5.51969732e-03
1.245           	airfoil	1.38230192e-04	1.94226411e-02	5.53873163e-03
1.25            	airfoil	6.54902952e-05	1.94339733e-02	5.55762286e-03
1.255           	airfoil	2.00186310e-04	1.94452616e-02	5.57674288e-03
1.26            	airfoil	1.18764853e-04	1.94565069e-02	5.59559874e-03
1.265           	airfoil	1.40831336e-04	1.94677100e-02	5.61428701e-03
1.27            	airfoil	1.77930260e-04	1.94788717e-02	5.63301870e-03
1.275           	airfoil	6.02417272e-05	1.94899928e-02	5.65150216e-03
1.28            	airfoil	1.73786937e-04	1.95010740e-02	5.67017478e-03
1.285           	airfoil	9.88570488e-05	1.95121158e-02	5.68870349e-03
1.29            	airfoil	1.74005891e-04	1.95231191e-02	5.70721558e-03
1.295           	airfoil	1.56840654e-04	1.95340844e-02	5.72547920e-03
1.3             	airfoil	1.28453275e-04	1.95450122e-02	5.74368659e-03
1.305           	airfoil	1.19205138e-04	1.95559032e-02	5.76193002e-03
1.31            	airfoil	5.99805319e-05	1.95667579e-02	5.78006302e-03
1.315           	airfoil	1.34868943e-04	1.95775768e-02	5.79816063e-03
1.32            	airfoil	9.21514482e-05	1.95883603e-02	5.81623195e-03
1.325           	airfoil	1.90526137e-04	1.95991090e-02	5.83419701e-03
1.33            	airfoil	1.40559484e-04	1.96098234e-02	5.85186861e-03
1.335           	airfoil	9.11094416e-05	1.96205039e-02	5.86967701e-03
1.34            	airfoil	1.74714773e-04	1.96311510e-02	5.88756183e-03
1.345           	airfoil	1.27351006e-04	1.96417651e-02	5.90519124e-03
1.35            	airfoil	1.60867781e-04	1.96523467e-02	5.92274842e-03
1.355           	airfoil	8.44192499e-05	1.96628963e-02	5.94030952e-03
1.36            	airfoil	2.23329913e-04	1.96734141e-02	5.95779763e-03
1.365           	airfoil	3.66321687e-05	1.96839006e-02	5.97492682e-03
1.37            	airfoil	1.79214135e-04	1.96943561e-02	5.99229176e-03
1.375           	airfoil	9.58173801e-05	1.97047810e-02	6.00964798e-03
1.38            	airfoil	2.04851431e-04	1.97151755e-02	6.02691847e-03
1.385           	airfoil	1.27681159e-04	1.97255398e-02	6.04393042e-03
1.39            	airfoil	1.57745633e-04	1.97358743e-02	6.06088181e-03
