# y+ ()         
# Time          	patch           	min             	max             	average         
0.92            	airfoil	1.12246431e-04	5.59824574e-03	1.61521600e-03
0.925           	airfoil	1.12786441e-04	5.60364970e-03	1.62081396e-03
0.93            	airfoil	1.13325168e-04	5.60890031e-03	1.62636046e-03
0.935           	airfoil	1.13869180e-04	5.61400222e-03	1.63197074e-03
0.94            	airfoil	1.14412153e-04	5.61895960e-03	1.63747007e-03
0.945           	airfoil	1.13832144e-04	5.62377632e-03	1.64284889e-03
0.95            	airfoil	1.15454479e-04	5.62845617e-03	1.64833038e-03
0.955           	airfoil	1.15970658e-04	5.63300264e-03	1.65375848e-03
0.96            	airfoil	1.16489342e-04	5.63741902e-03	1.65910705e-03
0.965           	airfoil	1.17011639e-04	5.64170823e-03	1.66445397e-03
0.97            	airfoil	1.17537131e-04	5.64587329e-03	1.66989390e-03
0.975           	airfoil	1.18061189e-04	5.64991691e-03	1.67523697e-03
0.98            	airfoil	1.18580963e-04	5.65384163e-03	1.68048605e-03
0.985           	airfoil	7.66230734e-05	5.65765028e-03	1.68562907e-03
0.99            	airfoil	1.19612416e-04	5.66134511e-03	1.69099133e-03
0.995           	airfoil	1.20125192e-04	5.66492867e-03	1.69624567e-03
1               	airfoil	1.20634612e-04	5.66840292e-03	1.70143984e-03
1.005           	airfoil	1.21139295e-04	5.67177003e-03	1.70658898e-03
1.01            	airfoil	1.21638768e-04	5.67503193e-03	1.71167934e-03
1.015           	airfoil	1.22138887e-04	5.67819087e-03	1.71683986e-03
1.02            	airfoil	1.22636782e-04	5.68124851e-03	1.72208793e-03
1.025           	airfoil	1.23132077e-04	5.68420667e-03	1.72726867e-03
1.03            	airfoil	1.23623465e-04	5.68706701e-03	1.73240135e-03
1.035           	airfoil	1.24119853e-04	5.68983146e-03	1.73749283e-03
1.04            	airfoil	1.24708911e-04	5.69250601e-03	1.74252224e-03
1.045           	airfoil	1.25089372e-04	5.69507377e-03	1.74751101e-03
1.05            	airfoil	1.25655291e-04	5.69755895e-03	1.75237013e-03
1.055           	airfoil	9.52841233e-05	5.69994338e-03	1.75742154e-03
1.06            	airfoil	6.51780991e-05	5.70224879e-03	1.76246888e-03
1.065           	airfoil	1.26967971e-04	5.70445648e-03	1.76754395e-03
1.07            	airfoil	1.27531973e-04	5.70658733e-03	1.77252515e-03
1.075           	airfoil	1.28006108e-04	5.70862684e-03	1.77746792e-03
1.08            	airfoil	1.28459396e-04	5.71058162e-03	1.78235910e-03
1.085           	airfoil	1.28910593e-04	5.71245279e-03	1.78719555e-03
1.09            	airfoil	1.29361450e-04	5.71424106e-03	1.79197659e-03
1.095           	airfoil	1.29813647e-04	5.71594741e-03	1.79670033e-03
1.1             	airfoil	1.30259893e-04	5.71757237e-03	1.80170017e-03
1.105           	airfoil	1.30707654e-04	5.71911708e-03	1.80658590e-03
1.11            	airfoil	1.31160507e-04	5.72058189e-03	1.81141236e-03
1.115           	airfoil	1.31611528e-04	5.72196726e-03	1.81618695e-03
1.12            	airfoil	1.32044217e-04	5.72327415e-03	1.82091126e-03
1.125           	airfoil	1.32466600e-04	5.72450310e-03	1.82558924e-03
1.13            	airfoil	1.32887879e-04	5.72565448e-03	1.83022527e-03
1.135           	airfoil	1.33239585e-04	5.72672587e-03	1.83482380e-03
1.14            	airfoil	3.95139883e-05	5.70318670e-03	1.84259057e-03
1.145           	airfoil	1.34157901e-04	5.73066440e-03	1.84253806e-03
1.15            	airfoil	1.25104136e-04	5.70837649e-03	1.85047323e-03
1.155           	airfoil	1.34989019e-04	5.73418466e-03	1.85102309e-03
